amount_at_risk,customer_ltv,failure_type,retry_count,days_overdue,previous_successful_payments,previous_recovery_attempts,payment_method,customer_tenure_days,recovered
11821,229229,AUTHENTICATION_FAILURE,0,2,9,0,UPI,513,1
19983,428985,CHECKOUT_ABANDONMENT,1,0,14,2,CARD,567,1
12499,163339,INSUFFICIENT_FUNDS,0,0,25,0,UPI,810,1
3997,453653,INSUFFICIENT_FUNDS,1,2,35,0,CARD,1073,1
45071,428904,INVOICE_OVERDUE,0,19,14,0,NACH,443,0
13575,255786,INVOICE_OVERDUE,0,12,14,1,UPI,515,1
10886,29517,BROKEN_COMMITMENT,0,6,3,0,UPI,93,1
76149,154755,BROKEN_COMMITMENT,1,18,7,3,CARD,302,0
61593,848470,AUTHENTICATION_FAILURE,0,1,20,0,CARD,826,1
280519,1055039,CHECKOUT_ABANDONMENT,2,1,9,0,CARD,146,0
7834,294307,CHECKOUT_ABANDONMENT,1,0,27,0,UPI,927,1
4076,116585,INSUFFICIENT_FUNDS,1,0,25,0,NETBANKING,803,1
11534,114020,BROKEN_COMMITMENT,0,5,3,0,CARD,53,0
544783,2500000,AUTHENTICATION_FAILURE,2,0,6,0,UPI,439,0
59852,736839,CARD_DECLINED,0,2,9,1,NETBANKING,669,1
56381,252978,INSUFFICIENT_FUNDS,1,0,20,0,CARD,492,1
12677,205351,AUTHENTICATION_FAILURE,0,0,9,0,CARD,431,1
6730,180235,RECURRING_PAYMENT_FAILURE,0,1,17,0,UPI,961,1
9348,132841,BROKEN_COMMITMENT,0,1,4,1,CARD,161,1
20229,76612,INVOICE_OVERDUE,0,10,13,0,CARD,544,1
139193,732431,GATEWAY_ERROR,0,3,13,3,CARD,469,1
2154,33000,INVOICE_OVERDUE,0,9,5,0,UPI,179,0
68521,542400,INSUFFICIENT_FUNDS,2,2,13,1,CARD,516,1
2888,113735,AUTHENTICATION_FAILURE,2,1,8,0,NETBANKING,373,1
11746,290138,CARD_DECLINED,1,2,33,2,UPI,1061,1
10590,357368,INVOICE_OVERDUE,0,50,19,2,CARD,875,1
21677,435893,BROKEN_COMMITMENT,1,50,28,2,CARD,972,0
682,192502,INVOICE_OVERDUE,0,16,17,0,CARD,622,1
7666,139656,CHECKOUT_ABANDONMENT,0,0,18,0,NETBANKING,913,1
64674,753754,GATEWAY_ERROR,1,0,9,0,UPI,397,1
37342,491536,CARD_DECLINED,0,0,23,0,CARD,712,1
59835,399124,INVOICE_OVERDUE,4,6,2,1,UPI,135,0
13706,183295,BROKEN_COMMITMENT,2,5,19,0,UPI,833,0
22722,96339,CARD_DECLINED,0,1,8,0,UPI,277,1
62918,207586,CHECKOUT_ABANDONMENT,1,1,4,1,NETBANKING,139,0
9302,278594,AUTHENTICATION_FAILURE,0,0,18,3,UPI,699,1
20674,172234,AUTHENTICATION_FAILURE,4,0,7,0,CARD,291,1
2066,116092,INSUFFICIENT_FUNDS,0,8,5,0,CARD,382,1
71180,364646,CARD_DECLINED,3,1,33,0,CARD,1092,0
715898,2500000,CARD_DECLINED,1,2,0,0,CARD,16,0
11392,42702,BROKEN_COMMITMENT,0,14,1,1,UPI,92,0
84895,527494,AUTHENTICATION_FAILURE,0,0,20,0,UPI,800,1
42453,633287,CHECKOUT_ABANDONMENT,0,0,19,0,CARD,806,1
83604,666800,CHECKOUT_ABANDONMENT,1,0,30,0,CARD,1009,1
2739,34144,CARD_DECLINED,0,1,2,0,CARD,42,0
70061,472270,INSUFFICIENT_FUNDS,0,1,2,0,NACH,167,1
187104,1277182,CHECKOUT_ABANDONMENT,0,2,42,0,NETBANKING,1052,1
27331,391201,RECURRING_PAYMENT_FAILURE,0,1,12,0,CARD,615,1
6938,178314,GATEWAY_ERROR,1,2,20,0,NETBANKING,694,1
58441,775715,RECURRING_PAYMENT_FAILURE,0,6,9,2,UPI,262,1
11546,175786,INSUFFICIENT_FUNDS,0,11,8,2,NETBANKING,434,1
86447,948552,INSUFFICIENT_FUNDS,0,7,4,0,UPI,82,1
14382,179140,RECURRING_PAYMENT_FAILURE,2,0,2,1,CARD,24,0
76289,681454,INSUFFICIENT_FUNDS,0,1,15,0,CARD,932,1
78561,218325,INSUFFICIENT_FUNDS,0,0,19,0,CARD,782,1
9786,265417,CHECKOUT_ABANDONMENT,1,1,28,1,CARD,1077,1
80802,795793,AUTHENTICATION_FAILURE,1,0,20,1,UPI,887,1
40406,278458,CARD_DECLINED,2,0,0,0,UPI,15,1
4420,324143,INVOICE_OVERDUE,0,29,38,1,CARD,929,1
9674,99315,CHECKOUT_ABANDONMENT,2,2,31,0,UPI,778,1
5720,250766,INSUFFICIENT_FUNDS,0,1,27,2,CARD,1053,1
52782,477069,CHECKOUT_ABANDONMENT,1,0,30,1,CARD,969,1
315557,702672,INSUFFICIENT_FUNDS,0,5,10,0,CARD,414,1
7646,171102,AUTHENTICATION_FAILURE,1,2,14,1,UPI,453,0
745,85693,CARD_DECLINED,2,1,23,0,CARD,850,1
9873,165074,INVOICE_OVERDUE,1,19,27,0,UPI,1072,1
52904,640656,RECURRING_PAYMENT_FAILURE,4,2,0,0,NACH,77,1
2541,198816,AUTHENTICATION_FAILURE,0,0,21,0,NETBANKING,690,1
630791,1926144,CHECKOUT_ABANDONMENT,3,0,2,1,CARD,82,1
12200,191678,AUTHENTICATION_FAILURE,0,0,18,3,CARD,513,1
9106,110143,AUTHENTICATION_FAILURE,3,1,4,0,UPI,94,1
9788,214264,RECURRING_PAYMENT_FAILURE,0,0,18,0,UPI,738,1
73308,447053,INSUFFICIENT_FUNDS,0,0,3,1,UPI,118,1
11436,386104,CARD_DECLINED,1,0,25,0,UPI,1011,1
1022,41352,BROKEN_COMMITMENT,1,7,10,0,UPI,205,0
5307,90060,AUTHENTICATION_FAILURE,0,0,22,1,NACH,942,1
37597,116329,RECURRING_PAYMENT_FAILURE,1,1,9,0,CARD,476,1
11075,342813,RECURRING_PAYMENT_FAILURE,0,1,25,1,NETBANKING,1064,0
93788,741740,CHECKOUT_ABANDONMENT,1,0,17,0,CARD,833,0
4347,220188,RECURRING_PAYMENT_FAILURE,1,2,16,1,CARD,667,1
620946,2500000,RECURRING_PAYMENT_FAILURE,0,1,24,0,CARD,805,0
45441,501931,CARD_DECLINED,0,5,8,0,CARD,191,1
59216,327740,AUTHENTICATION_FAILURE,2,0,9,0,CARD,445,1
109117,403672,CARD_DECLINED,1,1,18,0,CARD,746,0
1320,130405,CHECKOUT_ABANDONMENT,0,0,14,0,UPI,420,1
14715,112140,GATEWAY_ERROR,2,1,3,0,CARD,88,1
10022,160498,AUTHENTICATION_FAILURE,0,0,30,1,NACH,1065,1
14492,209937,CHECKOUT_ABANDONMENT,1,0,10,0,CARD,287,1
91606,997030,CHECKOUT_ABANDONMENT,0,0,11,1,NACH,447,1
4251,64508,CHECKOUT_ABANDONMENT,0,0,15,0,UPI,486,1
3608,36930,INSUFFICIENT_FUNDS,1,2,12,0,UPI,308,0
58066,422931,CHECKOUT_ABANDONMENT,1,0,9,0,UPI,306,1
89168,874416,CHECKOUT_ABANDONMENT,0,0,1,1,CARD,129,0
69810,337920,CARD_DECLINED,0,2,6,0,UPI,134,0
6194,114492,INVOICE_OVERDUE,2,22,20,1,UPI,615,1
29340,184648,AUTHENTICATION_FAILURE,2,0,21,0,CARD,767,1
3724,107885,AUTHENTICATION_FAILURE,0,0,25,0,CARD,578,1
8343,158795,INSUFFICIENT_FUNDS,1,6,21,1,CARD,770,1
31500,396959,INSUFFICIENT_FUNDS,2,0,5,0,CARD,440,1
35261,326676,RECURRING_PAYMENT_FAILURE,1,5,0,1,NETBANKING,25,0
449732,2500000,INVOICE_OVERDUE,2,1,3,1,CARD,97,1
12155,264650,CARD_DECLINED,0,1,6,0,CARD,485,1
3656,62024,RECURRING_PAYMENT_FAILURE,0,2,23,1,UPI,732,1
56440,527018,RECURRING_PAYMENT_FAILURE,3,0,8,0,CARD,167,1
4001,115050,INSUFFICIENT_FUNDS,1,0,10,0,CARD,248,1
9131,178402,RECURRING_PAYMENT_FAILURE,0,0,5,2,UPI,302,1
40842,604173,INVOICE_OVERDUE,2,21,22,0,NACH,989,1
344979,2500000,GATEWAY_ERROR,0,0,16,0,CARD,826,1
33561,327741,RECURRING_PAYMENT_FAILURE,1,5,1,2,CARD,30,0
94254,827888,CARD_DECLINED,3,2,31,0,CARD,836,1
7094,196011,BROKEN_COMMITMENT,1,9,23,0,CARD,747,1
62944,604196,CHECKOUT_ABANDONMENT,0,0,9,0,NETBANKING,209,1
43393,93622,AUTHENTICATION_FAILURE,3,1,1,2,UPI,71,0
11192,240796,AUTHENTICATION_FAILURE,4,0,9,0,NETBANKING,325,1
2928,89249,BROKEN_COMMITMENT,2,4,3,0,CARD,174,0
20005,224590,CARD_DECLINED,0,0,7,1,NETBANKING,243,1
39517,261154,INSUFFICIENT_FUNDS,1,2,21,1,UPI,907,0
378600,2500000,INSUFFICIENT_FUNDS,0,5,6,3,UPI,226,0
66579,533812,CHECKOUT_ABANDONMENT,0,0,8,0,CARD,264,1
1761,221655,AUTHENTICATION_FAILURE,0,0,22,0,UPI,619,1
7145,104930,BROKEN_COMMITMENT,0,5,8,0,CARD,396,1
27359,305153,GATEWAY_ERROR,2,1,10,0,UPI,543,1
482390,1012788,INSUFFICIENT_FUNDS,0,5,12,1,CARD,558,1
37483,272776,CARD_DECLINED,2,0,5,0,UPI,203,0
5503,77147,BROKEN_COMMITMENT,1,12,1,2,CARD,47,0
37197,449205,CHECKOUT_ABANDONMENT,4,0,8,0,UPI,320,0
7772,129522,RECURRING_PAYMENT_FAILURE,3,2,3,0,UPI,282,0
6334,427700,CARD_DECLINED,0,0,21,0,UPI,974,1
38995,307214,AUTHENTICATION_FAILURE,0,1,21,2,UPI,661,1
67562,547332,AUTHENTICATION_FAILURE,0,1,27,0,NETBANKING,989,1
10051,91321,INSUFFICIENT_FUNDS,2,8,14,0,CARD,592,1
33121,309346,CARD_DECLINED,1,5,16,1,NETBANKING,681,1
53570,374761,RECURRING_PAYMENT_FAILURE,1,1,22,0,NETBANKING,927,0
57525,383189,AUTHENTICATION_FAILURE,1,2,1,0,UPI,50,0
21144,230227,RECURRING_PAYMENT_FAILURE,0,2,8,0,NETBANKING,399,1
67652,392588,AUTHENTICATION_FAILURE,0,0,2,0,NETBANKING,91,0
13349,428495,CHECKOUT_ABANDONMENT,1,1,30,1,CARD,1028,1
12577,251185,CARD_DECLINED,2,0,16,0,NETBANKING,601,1
592,209506,RECURRING_PAYMENT_FAILURE,2,3,40,1,CARD,1076,1
119327,1199863,AUTHENTICATION_FAILURE,1,0,14,0,NACH,669,1
11480,212883,AUTHENTICATION_FAILURE,1,0,20,0,CARD,989,1
201594,2240139,INSUFFICIENT_FUNDS,1,0,3,1,CARD,266,0
14620,244655,CARD_DECLINED,1,1,12,1,NETBANKING,605,0
7025,104949,AUTHENTICATION_FAILURE,1,0,10,0,UPI,381,1
75812,258563,CARD_DECLINED,0,3,3,1,CARD,181,1
771767,2500000,CARD_DECLINED,1,5,9,3,UPI,337,0
7281,179496,CARD_DECLINED,0,5,26,1,UPI,687,1
16296,357357,GATEWAY_ERROR,2,0,20,0,CARD,902,1
62539,710170,INSUFFICIENT_FUNDS,0,4,20,1,CARD,669,1
1369,65291,AUTHENTICATION_FAILURE,1,0,3,0,UPI,157,1
4791,105466,INVOICE_OVERDUE,1,10,11,1,UPI,735,1
404942,2500000,INSUFFICIENT_FUNDS,2,6,4,0,UPI,170,0
16299,307446,INSUFFICIENT_FUNDS,0,0,24,0,CARD,805,1
24457,222183,CARD_DECLINED,2,2,2,0,CARD,15,0
3984,29041,AUTHENTICATION_FAILURE,1,0,5,0,NACH,118,1
40219,342480,INSUFFICIENT_FUNDS,2,3,5,0,UPI,159,1
2320,236632,CHECKOUT_ABANDONMENT,0,0,20,0,UPI,1060,1
80605,559976,CARD_DECLINED,3,2,3,1,CARD,60,0
43689,236138,AUTHENTICATION_FAILURE,0,0,29,1,UPI,1003,1
14053,111919,BROKEN_COMMITMENT,0,1,7,2,CARD,287,0
9899,130139,CHECKOUT_ABANDONMENT,1,0,3,0,NACH,81,1
11148,82219,CHECKOUT_ABANDONMENT,0,0,7,0,NETBANKING,241,1
666350,2500000,INSUFFICIENT_FUNDS,2,5,12,3,UPI,651,0
18222,241078,BROKEN_COMMITMENT,2,8,20,3,UPI,454,0
45476,381527,CARD_DECLINED,0,1,4,0,CARD,74,0
77752,710557,INSUFFICIENT_FUNDS,1,0,19,0,UPI,664,1
10164,73224,AUTHENTICATION_FAILURE,0,0,3,1,CARD,101,1
19963,173059,INVOICE_OVERDUE,0,39,1,0,UPI,92,1
731624,1727173,AUTHENTICATION_FAILURE,0,0,8,1,CARD,336,1
7599,91145,AUTHENTICATION_FAILURE,1,2,15,0,CARD,465,1
69203,675713,AUTHENTICATION_FAILURE,2,0,13,0,CARD,608,0
12087,185158,INSUFFICIENT_FUNDS,2,4,4,0,NETBANKING,377,1
94722,844243,AUTHENTICATION_FAILURE,2,1,6,0,CARD,161,0
27916,335396,AUTHENTICATION_FAILURE,0,0,17,0,UPI,526,1
63808,261899,INSUFFICIENT_FUNDS,0,2,12,0,UPI,544,1
230806,709254,INSUFFICIENT_FUNDS,3,2,10,2,CARD,526,0
49373,754596,AUTHENTICATION_FAILURE,0,0,19,0,CARD,828,1
21525,96569,AUTHENTICATION_FAILURE,2,0,0,1,CARD,110,0
2729,258896,CHECKOUT_ABANDONMENT,4,1,29,2,UPI,976,1
13512,80289,INVOICE_OVERDUE,0,14,14,1,UPI,292,1
39975,479359,AUTHENTICATION_FAILURE,0,0,11,2,CARD,478,1
14366,103114,INSUFFICIENT_FUNDS,0,0,9,2,CARD,423,1
611905,2500000,INSUFFICIENT_FUNDS,2,1,14,2,CARD,374,1
10903,211180,AUTHENTICATION_FAILURE,0,0,17,1,NETBANKING,530,1
23432,472152,CARD_DECLINED,0,3,23,0,NETBANKING,925,0
65510,386351,CARD_DECLINED,0,1,5,0,UPI,308,1
26069,189334,CHECKOUT_ABANDONMENT,0,0,34,1,UPI,1081,1
7141,134350,CARD_DECLINED,0,16,5,0,UPI,293,1
10998,159931,INSUFFICIENT_FUNDS,1,1,31,0,CARD,1022,0
1280,43800,RECURRING_PAYMENT_FAILURE,1,1,5,3,CARD,221,0
8306,178976,CHECKOUT_ABANDONMENT,0,0,24,0,CARD,1091,1
4963,40002,AUTHENTICATION_FAILURE,0,0,7,0,UPI,276,1
24799,121951,INVOICE_OVERDUE,1,21,14,0,CARD,703,0
89783,1268580,AUTHENTICATION_FAILURE,0,0,25,0,CARD,1001,1
78715,737004,INSUFFICIENT_FUNDS,0,1,10,3,CARD,817,0
1124,86095,AUTHENTICATION_FAILURE,4,0,5,2,UPI,209,1
5048,98231,CHECKOUT_ABANDONMENT,0,0,14,0,NETBANKING,704,1
70686,767146,INSUFFICIENT_FUNDS,0,0,15,1,NETBANKING,408,1
6108,34337,AUTHENTICATION_FAILURE,1,0,1,2,NETBANKING,102,1
254345,2135971,INSUFFICIENT_FUNDS,0,0,30,0,UPI,819,0
62794,262670,INSUFFICIENT_FUNDS,3,4,25,3,CARD,970,1
43131,639440,RECURRING_PAYMENT_FAILURE,2,1,24,2,CARD,1001,0
46604,286567,INSUFFICIENT_FUNDS,1,1,1,0,UPI,70,1
11354,251822,CHECKOUT_ABANDONMENT,1,0,20,1,NACH,538,1
513,13718,CHECKOUT_ABANDONMENT,0,0,5,0,NETBANKING,57,1
13512,115094,CHECKOUT_ABANDONMENT,2,0,3,1,CARD,144,1
57827,293418,AUTHENTICATION_FAILURE,2,0,21,3,CARD,704,1
495690,1108202,AUTHENTICATION_FAILURE,1,0,12,0,CARD,295,0
12175,72904,CHECKOUT_ABANDONMENT,1,0,6,0,CARD,216,1
109002,1146138,AUTHENTICATION_FAILURE,1,0,13,0,NACH,614,1
76499,585584,AUTHENTICATION_FAILURE,0,1,0,0,CARD,82,1
6614,55733,INSUFFICIENT_FUNDS,0,1,1,1,CARD,58,1
9646,223737,CARD_DECLINED,0,7,13,1,CARD,509,1
5477,256495,AUTHENTICATION_FAILURE,0,2,27,1,CARD,939,1
76307,945459,INVOICE_OVERDUE,0,2,9,1,UPI,455,1
3168,128261,CHECKOUT_ABANDONMENT,1,0,18,0,CARD,835,1
999,189261,AUTHENTICATION_FAILURE,0,1,17,2,UPI,498,1
607462,2500000,CARD_DECLINED,3,4,8,1,UPI,409,0
14752,412266,CARD_DECLINED,2,1,15,1,NETBANKING,712,1
50565,254853,CARD_DECLINED,0,0,20,0,UPI,820,1
47858,239643,CHECKOUT_ABANDONMENT,4,0,14,2,CARD,562,1
78824,702286,CARD_DECLINED,0,3,32,0,NACH,952,0
12483,267772,INSUFFICIENT_FUNDS,2,1,14,0,CARD,620,1
52730,214550,BROKEN_COMMITMENT,1,54,6,1,CARD,261,1
11730,117132,INSUFFICIENT_FUNDS,0,4,8,1,CARD,160,0
481719,2327344,AUTHENTICATION_FAILURE,0,0,6,0,UPI,506,1
5088,66155,BROKEN_COMMITMENT,3,11,0,1,CARD,109,0
2840,78391,CARD_DECLINED,2,3,29,0,CARD,1057,1
8384,362912,CHECKOUT_ABANDONMENT,0,1,19,0,CARD,769,1
78521,613242,AUTHENTICATION_FAILURE,0,0,17,3,CARD,640,1
84438,879846,AUTHENTICATION_FAILURE,2,0,27,0,UPI,647,1
432579,2500000,CARD_DECLINED,0,0,10,3,UPI,363,0
22086,241721,RECURRING_PAYMENT_FAILURE,0,5,25,0,CARD,749,1
154499,857695,INSUFFICIENT_FUNDS,0,1,5,3,CARD,231,0
83665,711951,CARD_DECLINED,0,3,23,1,CARD,931,1
12268,177279,CHECKOUT_ABANDONMENT,1,0,13,0,NACH,333,1
40824,288635,BROKEN_COMMITMENT,0,15,10,1,NETBANKING,295,1
4743,190756,RECURRING_PAYMENT_FAILURE,0,0,22,0,CARD,606,1
65084,180892,CARD_DECLINED,0,0,4,1,CARD,96,1
42276,342426,BROKEN_COMMITMENT,1,15,48,1,CARD,1097,1
93598,636203,CARD_DECLINED,1,3,16,0,NETBANKING,1004,0
39932,315587,CARD_DECLINED,1,1,17,0,UPI,584,1
9166,297947,INSUFFICIENT_FUNDS,2,3,21,1,CARD,958,0
8483,104061,RECURRING_PAYMENT_FAILURE,2,0,6,0,UPI,223,1
8805,199233,CHECKOUT_ABANDONMENT,2,0,26,1,CARD,904,1
5610,59351,INVOICE_OVERDUE,0,12,5,1,NACH,151,1
14390,114710,CHECKOUT_ABANDONMENT,1,0,1,0,CARD,51,1
87942,751239,AUTHENTICATION_FAILURE,2,0,5,0,UPI,174,0
13489,159890,AUTHENTICATION_FAILURE,3,0,3,0,NACH,127,1
6632,103740,CHECKOUT_ABANDONMENT,0,0,21,0,CARD,878,1
1065,138466,RECURRING_PAYMENT_FAILURE,1,0,19,1,NACH,509,1
5000,375609,AUTHENTICATION_FAILURE,0,0,13,2,NETBANKING,841,1
17249,182066,RECURRING_PAYMENT_FAILURE,0,3,12,0,CARD,422,1
12385,203020,CHECKOUT_ABANDONMENT,1,1,34,3,NACH,1099,1
45265,273834,CHECKOUT_ABANDONMENT,4,0,2,0,CARD,110,1
89301,1038299,CHECKOUT_ABANDONMENT,0,0,16,0,UPI,553,1
49565,700931,INSUFFICIENT_FUNDS,0,2,17,0,UPI,879,1
3566,201976,AUTHENTICATION_FAILURE,2,1,20,0,NACH,813,1
6628,283934,AUTHENTICATION_FAILURE,0,0,17,1,NETBANKING,794,1
13071,244691,AUTHENTICATION_FAILURE,4,0,19,0,UPI,741,1
30385,315764,CARD_DECLINED,1,2,14,0,NACH,518,1
50749,286031,INSUFFICIENT_FUNDS,0,3,23,3,NACH,859,1
14504,148171,CHECKOUT_ABANDONMENT,1,0,5,1,UPI,204,1
